date,close,eps,pe,revenue,symbol
1/2/2018 16:00,12.51,0.59,21.20338983,103.3,DQ
1/3/2018 16:00,12.63,0.59,21.40677966,103.3,DQ
1/4/2018 16:00,12.5,0.59,21.18644068,103.3,DQ
1/5/2018 16:00,12.96,0.59,21.96610169,103.3,DQ
1/8/2018 16:00,11.17,0.59,18.93220339,103.3,DQ
1/9/2018 16:00,11.99,0.59,20.3220339,103.3,DQ
1/10/2018 16:00,12.11,0.59,20.52542373,103.3,DQ
1/11/2018 16:00,12.8,0.59,21.69491525,103.3,DQ
1/12/2018 16:00,13.65,0.59,23.13559322,103.3,DQ
1/16/2018 16:00,12.85,0.59,21.77966102,103.3,DQ
1/17/2018 16:00,12.72,0.59,21.55932203,103.3,DQ
1/18/2018 16:00,12.69,0.59,21.50847458,103.3,DQ
1/19/2018 16:00,12.2,0.59,20.6779661,103.3,DQ
1/22/2018 16:00,12.65,0.59,21.44067797,103.3,DQ
1/23/2018 16:00,12.51,0.59,21.20338983,103.3,DQ
1/24/2018 16:00,11.73,0.59,19.88135593,103.3,DQ
1/25/2018 16:00,11.84,0.59,20.06779661,103.3,DQ
1/26/2018 16:00,11.7,0.59,19.83050847,103.3,DQ
1/29/2018 16:00,12.12,0.59,20.54237288,103.3,DQ
1/30/2018 16:00,11.43,0.59,19.37288136,103.3,DQ
1/31/2018 16:00,10.89,0.59,18.45762712,103.3,DQ
2/1/2018 16:00,10.68,0.59,18.10169492,103.3,DQ
2/2/2018 16:00,10.29,0.59,17.44067797,103.3,DQ
2/5/2018 16:00,9.68,0.59,16.40677966,103.3,DQ
2/6/2018 16:00,10.46,0.59,17.72881356,103.3,DQ
2/7/2018 16:00,10.03,0.59,17,103.3,DQ
2/8/2018 16:00,9.8,0.59,16.61016949,103.3,DQ
2/9/2018 16:00,9.95,0.59,16.86440678,103.3,DQ
2/12/2018 16:00,9.9,0.59,16.77966102,103.3,DQ
2/13/2018 16:00,10.31,0.59,17.47457627,103.3,DQ
2/14/2018 16:00,10.68,0.59,18.10169492,103.3,DQ
2/15/2018 16:00,10.66,0.59,18.06779661,103.3,DQ
2/16/2018 16:00,10.65,0.59,18.05084746,103.3,DQ
2/20/2018 16:00,12.3,0.59,20.84745763,103.3,DQ
2/21/2018 16:00,12.46,0.59,21.11864407,103.3,DQ
2/22/2018 16:00,12.38,0.59,20.98305085,103.3,DQ
2/23/2018 16:00,11.92,0.59,20.20338983,103.3,DQ
2/26/2018 16:00,11.34,0.59,19.22033898,103.3,DQ
2/27/2018 16:00,11.08,0.59,18.77966102,103.3,DQ
2/28/2018 16:00,9.83,0.59,16.66101695,103.3,DQ
3/1/2018 16:00,9.55,0.59,16.18644068,103.3,DQ
3/2/2018 16:00,9.59,0.59,16.25423729,103.3,DQ
3/5/2018 16:00,9.35,0.59,15.84745763,103.3,DQ
3/6/2018 16:00,9.44,0.59,16,103.3,DQ
3/7/2018 16:00,9.65,0.59,16.3559322,103.3,DQ
3/8/2018 16:00,9.02,0.59,15.28813559,103.3,DQ
3/9/2018 16:00,8.91,0.59,15.10169492,103.3,DQ
3/12/2018 16:00,9.42,0.59,15.96610169,103.3,DQ
3/13/2018 16:00,9,0.59,15.25423729,103.3,DQ
3/14/2018 16:00,9.01,0.59,15.27118644,103.3,DQ
3/15/2018 16:00,9.08,0.59,15.38983051,103.3,DQ
3/16/2018 16:00,9.49,0.59,16.08474576,103.3,DQ
3/19/2018 16:00,8.89,0.59,15.06779661,103.3,DQ
3/20/2018 16:00,9.2,0.59,15.59322034,103.3,DQ
3/21/2018 16:00,10.04,0.59,17.01694915,103.3,DQ
3/22/2018 16:00,10.15,0.59,17.20338983,103.3,DQ
3/23/2018 16:00,9.92,0.59,16.81355932,103.3,DQ
3/26/2018 16:00,10.22,0.59,17.3220339,103.3,DQ
3/27/2018 16:00,9.5,0.59,16.10169492,103.3,DQ
3/28/2018 16:00,9.34,0.59,15.83050847,103.3,DQ
3/29/2018 16:00,9.79,0.59,16.59322034,103.3,DQ
4/2/2018 16:00,9.72,0.59,16.47457627,63,DQ
4/3/2018 16:00,10.19,0.59,17.27118644,63,DQ
4/4/2018 16:00,10.91,0.59,18.49152542,63,DQ
4/5/2018 16:00,10.76,0.59,18.23728814,63,DQ
4/6/2018 16:00,11.17,0.59,18.93220339,63,DQ
4/9/2018 16:00,11.48,0.59,19.45762712,63,DQ
4/10/2018 16:00,12.21,0.59,20.69491525,63,DQ
4/11/2018 16:00,11.85,0.59,20.08474576,63,DQ
4/12/2018 16:00,10.59,0.59,17.94915254,63,DQ
4/13/2018 16:00,10.33,0.59,17.50847458,63,DQ
4/16/2018 16:00,10.26,0.59,17.38983051,63,DQ
4/17/2018 16:00,10.46,0.59,17.72881356,63,DQ
4/18/2018 16:00,10.93,0.59,18.52542373,63,DQ
4/19/2018 16:00,10.66,0.59,18.06779661,63,DQ
4/20/2018 16:00,10.9,0.59,18.47457627,63,DQ
4/23/2018 16:00,10.76,0.59,18.23728814,63,DQ
4/24/2018 16:00,10.62,0.59,18,63,DQ
4/25/2018 16:00,10.41,0.59,17.6440678,63,DQ
4/26/2018 16:00,10.92,0.59,18.50847458,63,DQ
4/27/2018 16:00,10.9,0.59,18.47457627,63,DQ
4/30/2018 16:00,10.67,0.59,18.08474576,63,DQ
5/1/2018 16:00,10.49,0.59,17.77966102,63,DQ
