date,close,eps,revenue,symbol
1/2/2018 16:00,38.05,2.69,209.9,SEDG
1/3/2018 16:00,39.05,2.69,209.9,SEDG
1/4/2018 16:00,37.35,2.69,209.9,SEDG
1/5/2018 16:00,37.9,2.69,209.9,SEDG
1/8/2018 16:00,38.35,2.69,209.9,SEDG
1/9/2018 16:00,37.2,2.69,209.9,SEDG
1/10/2018 16:00,36.6,2.69,209.9,SEDG
1/11/2018 16:00,37.5,2.69,209.9,SEDG
1/12/2018 16:00,36.3,2.69,209.9,SEDG
1/16/2018 16:00,35.65,2.69,209.9,SEDG
1/17/2018 16:00,36.5,2.69,209.9,SEDG
1/18/2018 16:00,35.7,2.69,209.9,SEDG
1/19/2018 16:00,35.2,2.69,209.9,SEDG
1/22/2018 16:00,34.75,2.69,209.9,SEDG
1/23/2018 16:00,35.65,2.69,209.9,SEDG
1/24/2018 16:00,35.3,2.69,209.9,SEDG
1/25/2018 16:00,36.4,2.69,209.9,SEDG
1/26/2018 16:00,36.75,2.69,209.9,SEDG
1/29/2018 16:00,37.1,2.69,209.9,SEDG
1/30/2018 16:00,35.65,2.69,209.9,SEDG
1/31/2018 16:00,35.9,2.69,209.9,SEDG
2/1/2018 16:00,35.4,2.69,209.9,SEDG
2/2/2018 16:00,34.58,2.69,209.9,SEDG
2/5/2018 16:00,34.8,2.69,209.9,SEDG
2/6/2018 16:00,34.5,2.69,209.9,SEDG
2/7/2018 16:00,33.67,2.69,209.9,SEDG
2/8/2018 16:00,32.25,2.69,209.9,SEDG
2/9/2018 16:00,32.2,2.69,209.9,SEDG
2/12/2018 16:00,34.5,2.69,209.9,SEDG
2/13/2018 16:00,36,2.69,209.9,SEDG
2/14/2018 16:00,36.9,2.69,209.9,SEDG
2/15/2018 16:00,45.85,2.69,209.9,SEDG
2/16/2018 16:00,46,2.69,209.9,SEDG
2/20/2018 16:00,47.45,2.69,209.9,SEDG
2/21/2018 16:00,47.8,2.69,209.9,SEDG
2/22/2018 16:00,48.35,2.69,209.9,SEDG
2/23/2018 16:00,50,2.69,209.9,SEDG
2/26/2018 16:00,50.9,2.69,209.9,SEDG
2/27/2018 16:00,50.15,2.69,209.9,SEDG
2/28/2018 16:00,50.05,2.69,209.9,SEDG
3/1/2018 16:00,49.8,2.69,209.9,SEDG
3/2/2018 16:00,50.9,2.69,209.9,SEDG
3/5/2018 16:00,50.6,2.69,209.9,SEDG
3/6/2018 16:00,52.5,2.69,209.9,SEDG
3/7/2018 16:00,51.65,2.69,209.9,SEDG
3/8/2018 16:00,52.08,2.69,209.9,SEDG
3/9/2018 16:00,52.45,2.69,209.9,SEDG
3/12/2018 16:00,54,2.69,209.9,SEDG
3/13/2018 16:00,54.05,2.69,209.9,SEDG
3/14/2018 16:00,54.7,2.69,209.9,SEDG
3/15/2018 16:00,54.75,2.69,209.9,SEDG
3/16/2018 16:00,54.45,2.69,209.9,SEDG
3/19/2018 16:00,55.1,2.69,209.9,SEDG
3/20/2018 16:00,56.75,2.69,209.9,SEDG
3/21/2018 16:00,56.2,2.69,209.9,SEDG
3/22/2018 16:00,54.7,2.69,209.9,SEDG
3/23/2018 16:00,54,2.69,209.9,SEDG
