date,close,eps,revenue,pe,symbol,pe
1/2/2018 16:00,11.12,0.66,494.8,16.84848485,AQN,16.84848485
1/3/2018 16:00,10.78,0.66,494.8,16.33333333,AQN,16.33333333
1/4/2018 16:00,10.66,0.66,494.8,16.15151515,AQN,16.15151515
1/5/2018 16:00,10.87,0.66,494.8,16.46969697,AQN,16.46969697
1/8/2018 16:00,10.89,0.66,494.8,16.5,AQN,16.5
1/9/2018 16:00,10.76,0.66,494.8,16.3030303,AQN,16.3030303
1/10/2018 16:00,10.66,0.66,494.8,16.15151515,AQN,16.15151515
1/11/2018 16:00,10.6,0.66,494.8,16.06060606,AQN,16.06060606
1/12/2018 16:00,10.58,0.66,494.8,16.03030303,AQN,16.03030303
1/16/2018 16:00,10.66,0.66,494.8,16.15151515,AQN,16.15151515
1/17/2018 16:00,10.9,0.66,494.8,16.51515152,AQN,16.51515152
1/18/2018 16:00,11.06,0.66,494.8,16.75757576,AQN,16.75757576
1/19/2018 16:00,11.01,0.66,494.8,16.68181818,AQN,16.68181818
1/22/2018 16:00,11,0.66,494.8,16.66666667,AQN,16.66666667
1/23/2018 16:00,11.04,0.66,494.8,16.72727273,AQN,16.72727273
1/24/2018 16:00,11.04,0.66,494.8,16.72727273,AQN,16.72727273
1/25/2018 16:00,10.98,0.66,494.8,16.63636364,AQN,16.63636364
1/26/2018 16:00,11.01,0.66,494.8,16.68181818,AQN,16.68181818
1/29/2018 16:00,10.86,0.66,494.8,16.45454545,AQN,16.45454545
1/30/2018 16:00,10.78,0.66,494.8,16.33333333,AQN,16.33333333
1/31/2018 16:00,10.85,0.66,494.8,16.43939394,AQN,16.43939394
2/1/2018 16:00,10.66,0.66,494.8,16.15151515,AQN,16.15151515
2/2/2018 16:00,10.43,0.66,494.8,15.8030303,AQN,15.8030303
2/5/2018 16:00,10.25,0.66,494.8,15.53030303,AQN,15.53030303
2/6/2018 16:00,10.27,0.66,494.8,15.56060606,AQN,15.56060606
2/7/2018 16:00,10.27,0.66,494.8,15.56060606,AQN,15.56060606
2/8/2018 16:00,10.1,0.66,494.8,15.3030303,AQN,15.3030303
2/9/2018 16:00,10.22,0.66,494.8,15.48484848,AQN,15.48484848
2/12/2018 16:00,10.2,0.66,494.8,15.45454545,AQN,15.45454545
2/13/2018 16:00,10.06,0.66,494.8,15.24242424,AQN,15.24242424
2/14/2018 16:00,10.09,0.66,494.8,15.28787879,AQN,15.28787879
2/15/2018 16:00,10.23,0.66,494.8,15.5,AQN,15.5
2/16/2018 16:00,10.27,0.66,494.8,15.56060606,AQN,15.56060606
2/20/2018 16:00,10.1,0.66,494.8,15.3030303,AQN,15.3030303
2/21/2018 16:00,9.93,0.66,494.8,15.04545455,AQN,15.04545455
2/22/2018 16:00,9.92,0.66,494.8,15.03030303,AQN,15.03030303
2/23/2018 16:00,10.1,0.66,494.8,15.3030303,AQN,15.3030303
2/26/2018 16:00,10.12,0.66,494.8,15.33333333,AQN,15.33333333
2/27/2018 16:00,9.99,0.66,494.8,15.13636364,AQN,15.13636364
2/28/2018 16:00,9.87,0.66,494.8,14.95454545,AQN,14.95454545
3/1/2018 16:00,9.85,0.66,494.8,14.92424242,AQN,14.92424242
3/2/2018 16:00,9.91,0.66,494.8,15.01515152,AQN,15.01515152
3/5/2018 16:00,9.75,0.66,494.8,14.77272727,AQN,14.77272727
3/6/2018 16:00,9.85,0.66,494.8,14.92424242,AQN,14.92424242
3/7/2018 16:00,10.02,0.66,494.8,15.18181818,AQN,15.18181818
3/8/2018 16:00,10.05,0.66,494.8,15.22727273,AQN,15.22727273
3/9/2018 16:00,10.17,0.66,494.8,15.40909091,AQN,15.40909091
3/12/2018 16:00,10.15,0.66,494.8,15.37878788,AQN,15.37878788
3/13/2018 16:00,9.96,0.66,494.8,15.09090909,AQN,15.09090909
3/14/2018 16:00,9.95,0.66,494.8,15.07575758,AQN,15.07575758
3/15/2018 16:00,9.83,0.66,494.8,14.89393939,AQN,14.89393939
3/16/2018 16:00,9.89,0.66,494.8,14.98484848,AQN,14.98484848
3/19/2018 16:00,9.82,0.66,494.8,14.87878788,AQN,14.87878788
3/20/2018 16:00,9.94,0.66,494.8,15.06060606,AQN,15.06060606
3/21/2018 16:00,9.97,0.66,494.8,15.10606061,AQN,15.10606061
3/22/2018 16:00,10.05,0.66,494.8,15.22727273,AQN,15.22727273
3/23/2018 16:00,10.01,0.66,494.8,15.16666667,AQN,15.16666667
3/26/2018 16:00,9.91,0.66,494.8,15.01515152,AQN,15.01515152
3/27/2018 16:00,9.94,0.66,494.8,15.06060606,AQN,15.06060606
3/28/2018 16:00,9.9,0.66,494.8,15,AQN,15
3/29/2018 16:00,9.92,0.66,494.8,15.03030303,AQN,15.03030303
4/2/2018 16:00,9.93,0.66,366.2,15.04545455,AQN,15.04545455
4/3/2018 16:00,10.01,0.66,366.2,15.16666667,AQN,15.16666667
4/4/2018 16:00,10.03,0.66,366.2,15.1969697,AQN,15.1969697
4/5/2018 16:00,9.99,0.66,366.2,15.13636364,AQN,15.13636364
4/6/2018 16:00,9.91,0.66,366.2,15.01515152,AQN,15.01515152
4/9/2018 16:00,9.97,0.66,366.2,15.10606061,AQN,15.10606061
